Membership No  Date Joined  Active  
    53743      2017-6-11    yes   
    74291      2015-4-18    no    
    59714      2015-4-1     no    
    48668      2015-1-24    no    
    80930      2019-9-3     yes   
    40754      2018-10-17   no    
    41662      2020-9-23    no    
    15402      2016-7-11    no    
    10238      2015-5-9     no    
    92080      2018-2-7     no    
    92004      2019-10-7    no    
    67081      2020-8-10    yes   
    96379      2017-7-12    no    
    15992      2016-1-15    no    
    13581      2015-3-3     yes   
    67678      2019-12-19   yes   
    26227      2017-10-9    yes   
    55320      2015-6-15    no    
    44379      2018-5-6     no    
    81779      2015-12-4    no    
