Membership No  Date Joined  Active  
    69305      2020-1-8     no    
    47043      2016-3-5     no    
    97196      2016-11-2    no    
    21333      2017-7-22    yes   
    71123      2016-8-6     no    
    39956      2017-5-3     no    
    52120      2019-11-23   no    
    67476      2019-4-17    yes   
    48084      2017-9-21    no    
    53007      2017-6-18    no    
    34980      2015-9-4     yes   
    95168      2017-9-17    no    
    15663      2020-7-12    no    
    94636      2016-5-11    no    
    17636      2015-4-25    yes   
    35067      2019-3-15    yes   
    46766      2015-9-17    no    
    84409      2015-1-23    yes   
    12172      2017-8-22    yes   
    44264      2015-2-10    no    
